Status of existing checking account,Duration in month,Credit history,Purpose,Credit amount,Savings account bonds,Present employment since,Installment rate in percentage of disposable income,Personal status and sex,Other debtors / guarantors,Present residence since,Property,Age in years,Other installment plans ,Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telephone,foreign worker,Good or bad indicator
"[0DM,200DM]",12,critical account,car(new),1995,"[100,500DM]",<1year,4,male:single,none,1,car or other,27,none,own,1,0,1,no,yes,0
"[0DM,200DM]",9,existing credits paid back duly till now,education,1199,<100DM,"[4,7years]",4,female:divorced/separated/married,none,4,life insurance,67,none,own,2,0,1,yes,yes,0
"[0DM,200DM]",12,existing credits paid back duly till now,radio/television,1331,<100DM,<1year,2,male:single,none,1,car or other,22,stores,own,1,0,1,no,yes,1
"[0DM,200DM]",18,nocreditstaken,car(new),2278,"[100,500DM]",<1year,3,female:divorced/separated/married,none,3,car or other,28,none,own,2,0,1,no,yes,1
no checking account,21,nocreditstaken,car(new),5003,unknown,"[1,4years]",1,female:divorced/separated/married,none,4,life insurance,29, bank,own,2,0,1,yes,yes,1
<0DM,24,all credits at this bank paid back duly,furniture/equipment,3552,<100DM,"[4,7years]",3,male:single,none,4,car or other,27, bank,own,1,0,1,no,yes,1
"[0DM,200DM]",18,critical account,furniture/equipment,1928,<100DM,<1year,2,male:single,none,2,real estate,31,none,own,2,0,1,no,yes,1
<0DM,24,existing credits paid back duly till now,car(used),2964,unknown,>=7years,4,male:single,none,4,no property,49, bank,for free,1,1,2,yes,yes,0
<0DM,24,all credits at this bank paid back duly,radio/television,1546,<100DM,"[4,7years]",4,male:single,guarantor,4,car or other,24, bank,rent,1,0,1,no,yes,1
>=200DM,6,delay in paying off in the past,radio/television,683,<100DM,<1year,2,female:divorced/separated/married,none,1,life insurance,29, bank,own,1,0,1,no,yes,0
"[0DM,200DM]",36,existing credits paid back duly till now,car(new),12389,unknown,"[1,4years]",1,male:single,none,4,no property,37,none,for free,1,0,1,yes,yes,1
"[0DM,200DM]",24,delay in paying off in the past,business,4712,unknown,"[1,4years]",4,male:single,none,2,life insurance,37, bank,own,2,0,1,yes,yes,0
"[0DM,200DM]",24,delay in paying off in the past,radio/television,1553,"[100,500DM]","[4,7years]",3,female:divorced/separated/married,none,2,life insurance,23,none,rent,2,0,1,yes,yes,0
<0DM,12,existing credits paid back duly till now,car(new),1372,<100DM,"[4,7years]",2,male:divorced/separated,none,3,car or other,36,none,own,1,0,1,no,yes,1
no checking account,24,critical account,radio/television,2578,>=1000DM,>=7years,2,male:single,none,2,car or other,34,none,own,1,0,1,no,yes,0
"[0DM,200DM]",48,existing credits paid back duly till now,radio/television,3979,unknown,"[4,7years]",4,male:single,none,1,car or other,41,none,own,2,0,2,yes,yes,0
<0DM,48,existing credits paid back duly till now,radio/television,6758,<100DM,"[1,4years]",3,female:divorced/separated/married,none,2,car or other,31,none,own,1,0,1,yes,yes,1
<0DM,24,existing credits paid back duly till now,furniture/equipment,3234,<100DM,<1year,4,female:divorced/separated/married,none,4,real estate,23,none,rent,1,0,1,yes,yes,1
no checking account,30,critical account,radio/television,5954,<100DM,"[4,7years]",3,male:single,co-applicant,2,car or other,38,none,own,1,0,1,no,yes,0
no checking account,24,existing credits paid back duly till now,car(used),5433,unknown,unemployed,2,female:divorced/separated/married,none,4,life insurance,26,none,rent,1,1,1,yes,yes,0
<0DM,15,existing credits paid back duly till now,business,806,<100DM,"[1,4years]",4,female:divorced/separated/married,none,4,life insurance,22,none,own,1,0,1,no,yes,0
"[0DM,200DM]",9,existing credits paid back duly till now,radio/television,1082,<100DM,>=7years,4,male:single,none,4,car or other,27,none,own,2,0,1,no,yes,0
no checking account,15,critical account,furniture/equipment,2788,<100DM,"[4,7years]",2,female:divorced/separated/married,co-applicant,3,car or other,24, bank,own,2,0,1,no,yes,0
"[0DM,200DM]",12,existing credits paid back duly till now,radio/television,2930,<100DM,"[4,7years]",2,female:divorced/separated/married,none,1,real estate,27,none,own,1,0,1,no,yes,0
no checking account,24,critical account,education,1927,unknown,"[1,4years]",3,female:divorced/separated/married,none,2,car or other,33,none,own,2,0,1,yes,yes,0
"[0DM,200DM]",36,critical account,car(new),2820,<100DM,<1year,4,male:divorced/separated,none,4,car or other,27,none,own,2,0,1,no,yes,1
no checking account,24,existing credits paid back duly till now,retraining,937,<100DM,<1year,4,male:married/widowed,none,3,car or other,27,none,own,2,0,1,no,yes,0
"[0DM,200DM]",18,critical account,car(new),1056,<100DM,>=7years,3,male:single,guarantor,3,real estate,30, bank,own,2,0,1,no,yes,1
"[0DM,200DM]",12,critical account,car(new),3124,<100DM,<1year,1,male:single,none,3,real estate,49, bank,own,2,0,2,no,yes,0
no checking account,9,existing credits paid back duly till now,furniture/equipment,1388,<100DM,"[1,4years]",4,female:divorced/separated/married,none,2,real estate,26,none,rent,1,0,1,no,yes,0
"[0DM,200DM]",36,existing credits paid back duly till now,repairs,2384,<100DM,<1year,4,male:single,none,1,no property,33,none,rent,1,0,1,no,yes,1
no checking account,12,existing credits paid back duly till now,car(new),2133,unknown,>=7years,4,female:divorced/separated/married,none,4,no property,52,none,for free,1,0,1,yes,yes,0
<0DM,18,existing credits paid back duly till now,furniture/equipment,2039,<100DM,"[1,4years]",1,female:divorced/separated/married,none,4,real estate,20, bank,rent,1,0,1,no,yes,1
<0DM,9,critical account,car(new),2799,<100DM,"[1,4years]",2,male:single,none,2,real estate,36,none,rent,2,0,2,no,yes,0
<0DM,12,existing credits paid back duly till now,furniture/equipment,1289,<100DM,"[1,4years]",4,male:single,guarantor,1,life insurance,21,none,own,1,0,1,no,yes,0
<0DM,18,existing credits paid back duly till now,domesticappliances,1217,<100DM,"[1,4years]",4,male:married/widowed,none,3,real estate,47,none,own,1,0,1,yes,yes,1
<0DM,12,critical account,furniture/equipment,2246,<100DM,>=7years,3,male:single,none,3,life insurance,60,none,own,2,0,1,no,yes,1
<0DM,12,critical account,radio/television,385,<100DM,"[4,7years]",4,female:divorced/separated/married,none,3,real estate,58,none,own,4,0,1,yes,yes,0
"[0DM,200DM]",24,delay in paying off in the past,car(new),1965,unknown,"[1,4years]",4,female:divorced/separated/married,none,4,car or other,42,none,rent,2,0,1,yes,yes,0
no checking account,21,existing credits paid back duly till now,business,1572,>=1000DM,>=7years,4,female:divorced/separated/married,none,4,real estate,36, bank,own,1,0,1,no,yes,0
"[0DM,200DM]",24,existing credits paid back duly till now,car(new),2718,<100DM,"[1,4years]",3,female:divorced/separated/married,none,4,life insurance,20,none,rent,1,0,1,yes,yes,1
<0DM,24,all credits at this bank paid back duly,car(used)0,1358,unknown,>=7years,4,male:single,none,3,car or other,40,stores,own,1,0,1,yes,yes,1
"[0DM,200DM]",6,all credits at this bank paid back duly,car(new),931,"[100,500DM]",<1year,1,female:divorced/separated/married,none,1,life insurance,32,stores,own,1,0,1,no,yes,1
<0DM,24,existing credits paid back duly till now,car(new),1442,<100DM,"[4,7years]",4,female:divorced/separated/married,none,4,car or other,23,none,rent,2,0,1,no,yes,1
"[0DM,200DM]",24,nocreditstaken,business,4241,<100DM,"[1,4years]",1,male:single,none,4,real estate,36,none,own,3,0,1,yes,yes,1
no checking account,18,critical account,car(new),2775,<100DM,"[4,7years]",2,male:single,none,2,life insurance,31, bank,own,2,0,1,no,yes,1
no checking account,24,delay in paying off in the past,business,3863,<100DM,"[1,4years]",1,male:single,none,2,no property,32,none,for free,1,0,1,no,yes,0
"[0DM,200DM]",7,existing credits paid back duly till now,radio/television,2329,<100DM,<1year,1,female:divorced/separated/married,guarantor,1,real estate,45,none,own,1,0,1,no,yes,0
"[0DM,200DM]",9,existing credits paid back duly till now,furniture/equipment,918,<100DM,"[1,4years]",4,female:divorced/separated/married,none,1,life insurance,30,none,own,1,0,1,no,yes,1
"[0DM,200DM]",24,all credits at this bank paid back duly,education,1837,<100DM,"[4,7years]",4,female:divorced/separated/married,none,4,no property,34, bank,for free,1,0,1,no,yes,1
no checking account,36,existing credits paid back duly till now,furniture/equipment,3349,<100DM,"[1,4years]",4,female:divorced/separated/married,none,2,car or other,28,none,own,1,0,1,yes,yes,1
>=200DM,10,existing credits paid back duly till now,furniture/equipment,1275,<100DM,<1year,4,female:divorced/separated/married,none,2,life insurance,23,none,own,1,0,1,no,yes,0
<0DM,24,all credits at this bank paid back duly,furniture/equipment,2828,"[500,1000DM]","[1,4years]",4,male:single,none,4,real estate,22,stores,own,1,0,1,yes,yes,0
no checking account,24,critical account,business,4526,<100DM,"[1,4years]",3,male:single,none,2,real estate,74,none,own,1,0,1,yes,yes,0
"[0DM,200DM]",36,existing credits paid back duly till now,radio/television,2671,"[100,500DM]","[1,4years]",4,female:divorced/separated/married,co-applicant,4,no property,50,none,for free,1,0,1,no,yes,1
no checking account,18,existing credits paid back duly till now,radio/television,2051,<100DM,<1year,4,male:single,none,1,real estate,33,none,own,1,0,1,no,yes,0
no checking account,15,existing credits paid back duly till now,car(used),1300,unknown,>=7years,4,male:single,none,4,no property,45, bank,for free,1,1,2,no,yes,0
<0DM,12,existing credits paid back duly till now,domesticappliances,741,"[100,500DM]",unemployed,4,female:divorced/separated/married,none,3,life insurance,22,none,own,1,0,1,no,yes,1
>=200DM,10,existing credits paid back duly till now,car(new),1240,"[100,500DM]",>=7years,1,female:divorced/separated/married,none,4,no property,48,none,for free,1,0,2,no,yes,1
<0DM,21,existing credits paid back duly till now,radio/television,3357,>=1000DM,<1year,4,female:divorced/separated/married,none,2,car or other,29, bank,own,1,0,1,no,yes,0
<0DM,24,all credits at this bank paid back duly,car(used),3632,<100DM,"[1,4years]",1,female:divorced/separated/married,guarantor,4,car or other,22, bank,rent,1,1,1,no,no,0
no checking account,18,delay in paying off in the past,furniture/equipment,1808,<100DM,"[4,7years]",4,female:divorced/separated/married,none,1,real estate,22,none,own,1,0,1,no,yes,1
"[0DM,200DM]",48,nocreditstaken,business,12204,unknown,"[1,4years]",2,male:single,none,2,car or other,48, bank,own,1,0,1,yes,yes,0
"[0DM,200DM]",60,delay in paying off in the past,radio/television,9157,unknown,"[1,4years]",2,male:single,none,2,no property,27,none,for free,1,0,1,no,yes,0
<0DM,6,critical account,car(new),3676,<100DM,"[1,4years]",1,male:single,none,3,real estate,37,none,rent,3,0,2,no,yes,0
"[0DM,200DM]",30,existing credits paid back duly till now,furniture/equipment,3441,"[100,500DM]","[1,4years]",2,female:divorced/separated/married,co-applicant,4,car or other,21,none,rent,1,0,1,no,yes,1
no checking account,12,existing credits paid back duly till now,car(new),640,<100DM,"[1,4years]",4,male:divorced/separated,none,2,real estate,49,none,own,1,0,1,no,yes,0
"[0DM,200DM]",21,critical account,business,3652,<100DM,"[4,7years]",2,male:single,none,3,life insurance,27,none,own,2,0,1,no,yes,0
no checking account,18,critical account,car(new),1530,<100DM,"[1,4years]",3,male:single,none,2,life insurance,32, bank,own,2,0,1,no,yes,1
no checking account,48,existing credits paid back duly till now,business,3914,unknown,"[1,4years]",4,male:divorced/separated,none,2,real estate,38, bank,own,1,0,1,no,yes,1
<0DM,12,existing credits paid back duly till now,furniture/equipment,1858,<100DM,<1year,4,female:divorced/separated/married,none,1,car or other,22,none,rent,1,0,1,no,yes,0
<0DM,18,existing credits paid back duly till now,radio/television,2600,<100DM,"[1,4years]",4,male:single,none,4,no property,65,none,for free,2,0,1,no,yes,1
no checking account,15,existing credits paid back duly till now,radio/television,1979,unknown,>=7years,4,male:single,none,2,car or other,35,none,own,1,0,1,no,yes,0
>=200DM,6,existing credits paid back duly till now,furniture/equipment,2116,<100DM,"[1,4years]",2,male:single,none,2,real estate,41,none,own,1,0,1,yes,yes,0
"[0DM,200DM]",9,all credits at this bank paid back duly,car(new),1437,"[100,500DM]","[4,7years]",2,male:single,none,3,no property,29,none,own,1,0,1,no,yes,1
no checking account,42,critical account,furniture/equipment,4042,"[500,1000DM]","[1,4years]",4,male:single,none,4,real estate,36,none,own,2,0,1,yes,yes,0
no checking account,9,existing credits paid back duly till now,education,3832,unknown,>=7years,1,male:single,none,4,real estate,64,none,own,1,0,1,no,yes,0
<0DM,24,existing credits paid back duly till now,radio/television,3660,<100DM,"[1,4years]",2,female:divorced/separated/married,none,4,car or other,28,none,own,1,0,1,no,yes,0
<0DM,18,all credits at this bank paid back duly,furniture/equipment,1553,<100DM,"[1,4years]",4,male:single,none,3,car or other,44, bank,own,1,0,1,no,yes,1
"[0DM,200DM]",15,existing credits paid back duly till now,radio/television,1444,unknown,<1year,4,male:single,none,1,life insurance,23,none,own,1,0,1,no,yes,0
no checking account,9,existing credits paid back duly till now,furniture/equipment,1980,<100DM,<1year,2,female:divorced/separated/married,co-applicant,2,car or other,19,none,rent,2,0,1,no,yes,1
"[0DM,200DM]",24,existing credits paid back duly till now,car(new),1355,<100DM,<1year,3,female:divorced/separated/married,none,4,car or other,25,none,own,1,0,1,yes,yes,1
no checking account,12,existing credits paid back duly till now,education,1393,<100DM,>=7years,4,male:single,none,4,life insurance,47, bank,own,3,0,2,yes,yes,0
no checking account,24,existing credits paid back duly till now,radio/television,1376,"[500,1000DM]","[4,7years]",4,female:divorced/separated/married,none,1,car or other,28,none,own,1,0,1,no,yes,0
no checking account,60,delay in paying off in the past,radio/television,15653,<100DM,"[4,7years]",2,male:single,none,4,car or other,21,none,own,2,0,1,yes,yes,0
no checking account,12,existing credits paid back duly till now,radio/television,1493,<100DM,<1year,4,female:divorced/separated/married,none,3,car or other,34,none,own,1,0,2,no,yes,0
<0DM,42,delay in paying off in the past,radio/television,4370,<100DM,"[4,7years]",3,male:single,none,2,life insurance,26, bank,own,2,0,2,yes,yes,1
<0DM,18,existing credits paid back duly till now,education,750,<100DM,unemployed,4,female:divorced/separated/married,none,1,real estate,27,none,own,1,0,1,no,yes,1
"[0DM,200DM]",15,existing credits paid back duly till now,repairs,1308,<100DM,>=7years,4,male:single,none,4,car or other,38,none,own,2,0,1,no,yes,0
no checking account,15,existing credits paid back duly till now,education,4623,"[100,500DM]","[1,4years]",3,male:single,none,2,life insurance,40,none,own,1,0,1,yes,yes,1
no checking account,24,critical account,radio/television,1851,<100DM,"[4,7years]",4,male:married/widowed,guarantor,2,car or other,33,none,own,2,0,1,yes,yes,0
<0DM,18,critical account,radio/television,1880,<100DM,"[4,7years]",4,male:married/widowed,none,1,life insurance,32,none,own,2,0,1,yes,yes,0
no checking account,36,delay in paying off in the past,business,7980,unknown,<1year,4,male:single,none,4,car or other,27,none,rent,2,0,1,yes,yes,1
<0DM,30,nocreditstaken,furniture/equipment,4583,<100DM,"[1,4years]",2,male:divorced/separated,guarantor,2,real estate,32,none,own,2,0,1,no,yes,0
no checking account,12,existing credits paid back duly till now,car(new),1386,"[500,1000DM]","[1,4years]",2,female:divorced/separated/married,none,2,life insurance,26,none,own,1,0,1,no,yes,1
>=200DM,24,existing credits paid back duly till now,car(new),947,<100DM,"[4,7years]",4,male:single,none,3,no property,38, bank,for free,1,0,2,no,yes,1
<0DM,12,existing credits paid back duly till now,education,684,<100DM,"[1,4years]",4,male:single,none,4,car or other,40,none,rent,1,0,2,no,yes,1
<0DM,48,existing credits paid back duly till now,education,7476,<100DM,"[4,7years]",4,male:single,none,1,no property,50,none,for free,1,0,1,yes,yes,0
"[0DM,200DM]",12,existing credits paid back duly till now,furniture/equipment,1922,<100DM,"[1,4years]",4,male:single,none,2,life insurance,37,none,own,1,0,1,no,yes,1
<0DM,24,existing credits paid back duly till now,car(new),2303,<100DM,>=7years,4,male:single,co-applicant,1,real estate,45,none,own,1,0,1,no,yes,1
"[0DM,200DM]",36,delay in paying off in the past,car(new),8086,"[100,500DM]",>=7years,2,male:single,none,4,car or other,42,none,own,4,0,1,yes,yes,1
no checking account,24,critical account,car(used),2346,<100DM,"[4,7years]",4,male:single,none,3,car or other,35,none,own,2,1,1,yes,yes,0
<0DM,14,existing credits paid back duly till now,car(new),3973,<100DM,unemployed,1,male:single,none,4,no property,22,none,for free,1,0,1,no,yes,0
"[0DM,200DM]",12,existing credits paid back duly till now,car(new),888,<100DM,>=7years,4,male:single,none,4,car or other,41, bank,own,1,0,2,no,yes,1
no checking account,48,existing credits paid back duly till now,radio/television,10222,unknown,"[4,7years]",4,male:single,none,3,car or other,37,stores,own,1,0,1,yes,yes,0
"[0DM,200DM]",30,nocreditstaken,business,4221,<100DM,"[1,4years]",2,female:divorced/separated/married,none,1,car or other,28,none,own,2,0,1,no,yes,0
"[0DM,200DM]",18,critical account,furniture/equipment,6361,<100DM,>=7years,2,male:single,none,1,no property,41,none,own,1,0,1,yes,yes,0
>=200DM,12,existing credits paid back duly till now,radio/television,1297,<100DM,"[1,4years]",3,male:married/widowed,none,4,real estate,23,none,rent,1,0,1,no,yes,0
<0DM,12,existing credits paid back duly till now,car(new),900,unknown,"[1,4years]",4,male:married/widowed,none,2,car or other,23,none,own,1,0,1,no,yes,1
no checking account,21,existing credits paid back duly till now,furniture/equipment,2241,<100DM,>=7years,4,male:single,none,2,real estate,50,none,own,2,0,1,no,yes,0
"[0DM,200DM]",6,delay in paying off in the past,furniture/equipment,1050,<100DM,unemployed,4,male:single,none,1,life insurance,35,stores,own,2,0,1,yes,yes,0
>=200DM,6,critical account,education,1047,<100DM,"[1,4years]",2,female:divorced/separated/married,none,4,life insurance,50,none,own,1,0,1,no,yes,0
no checking account,24,critical account,car(used)0,6314,<100DM,unemployed,4,male:single,co-applicant,2,no property,27, bank,own,2,0,1,yes,yes,0
"[0DM,200DM]",30,all credits at this bank paid back duly,furniture/equipment,3496,>=1000DM,"[1,4years]",4,male:single,none,2,car or other,34,stores,own,1,0,2,yes,yes,0
no checking account,48,all credits at this bank paid back duly,business,3609,<100DM,"[1,4years]",1,female:divorced/separated/married,none,1,real estate,27,stores,own,1,0,1,no,yes,0
<0DM,12,critical account,car(new),4843,<100DM,>=7years,3,male:single,co-applicant,4,life insurance,43,none,rent,2,0,1,yes,yes,1
>=200DM,30,critical account,radio/television,3017,<100DM,>=7years,4,male:single,none,4,life insurance,47,none,own,1,0,1,no,yes,0
no checking account,24,critical account,business,4139,"[100,500DM]","[1,4years]",3,male:single,none,3,life insurance,27,none,own,2,0,1,yes,yes,0
no checking account,36,existing credits paid back duly till now,business,5742,"[100,500DM]","[4,7years]",2,male:single,none,2,car or other,31,none,own,2,0,1,yes,yes,0
no checking account,60,existing credits paid back duly till now,car(new),10366,<100DM,>=7years,2,male:single,none,4,life insurance,42,none,own,1,0,1,yes,yes,0
no checking account,6,critical account,car(new),2080,"[500,1000DM]","[1,4years]",1,male:married/widowed,none,2,car or other,24,none,own,1,0,1,no,yes,0
no checking account,21,delay in paying off in the past,business,2580,"[500,1000DM]",<1year,4,male:single,none,2,real estate,41, bank,own,1,0,2,no,yes,1
no checking account,30,critical account,radio/television,4530,<100DM,"[4,7years]",4,female:divorced/separated/married,none,4,car or other,26,none,rent,1,0,1,yes,yes,0
no checking account,24,critical account,furniture/equipment,5150,<100DM,>=7years,4,male:single,none,4,car or other,33,none,own,1,0,1,yes,yes,0
"[0DM,200DM]",72,existing credits paid back duly till now,radio/television,5595,"[100,500DM]","[1,4years]",2,male:married/widowed,none,2,car or other,24,none,own,1,0,1,no,yes,1
<0DM,24,existing credits paid back duly till now,radio/television,2384,<100DM,>=7years,4,male:single,none,4,real estate,64, bank,rent,1,0,1,no,yes,0
no checking account,18,existing credits paid back duly till now,radio/television,1453,<100DM,<1year,3,female:divorced/separated/married,none,1,real estate,26,none,own,1,0,1,no,yes,0
no checking account,6,existing credits paid back duly till now,education,1538,<100DM,<1year,1,female:divorced/separated/married,none,2,no property,56,none,own,1,0,1,no,yes,0
no checking account,12,existing credits paid back duly till now,radio/television,2279,unknown,"[1,4years]",4,male:single,none,4,no property,37,none,for free,1,0,1,yes,yes,0
no checking account,15,delay in paying off in the past,radio/television,1478,<100DM,"[1,4years]",4,male:married/widowed,none,3,real estate,33, bank,own,2,0,1,no,yes,0
no checking account,24,critical account,radio/television,5103,<100DM,<1year,3,male:married/widowed,none,3,no property,47,none,for free,3,0,1,yes,yes,0
"[0DM,200DM]",36,delay in paying off in the past,business,9857,"[100,500DM]","[4,7years]",1,male:single,none,3,life insurance,31,none,own,2,0,2,yes,yes,0
no checking account,60,existing credits paid back duly till now,car(new),6527,unknown,"[1,4years]",4,male:single,none,4,no property,34,none,for free,1,0,2,yes,yes,0
>=200DM,10,critical account,radio/television,1347,unknown,"[4,7years]",4,male:single,none,2,life insurance,27,none,own,2,0,1,yes,yes,0
"[0DM,200DM]",36,delay in paying off in the past,car(new),2862,"[100,500DM]",>=7years,4,male:single,none,3,no property,30,none,for free,1,0,1,no,yes,0
no checking account,9,existing credits paid back duly till now,radio/television,2753,"[100,500DM]",>=7years,3,male:single,co-applicant,4,car or other,35,none,own,1,0,1,yes,yes,0
<0DM,12,existing credits paid back duly till now,car(new),3651,>=1000DM,"[1,4years]",1,male:single,none,3,life insurance,31,none,own,1,0,2,no,yes,0
<0DM,15,critical account,furniture/equipment,975,<100DM,"[1,4years]",2,male:divorced/separated,none,3,life insurance,25,none,own,2,0,1,no,yes,0
"[0DM,200DM]",15,existing credits paid back duly till now,repairs,2631,"[100,500DM]","[1,4years]",3,female:divorced/separated/married,none,2,real estate,25,none,own,1,0,1,no,yes,0
"[0DM,200DM]",24,existing credits paid back duly till now,radio/television,2896,"[100,500DM]",<1year,2,male:single,none,1,car or other,29,none,own,1,0,1,no,yes,0
<0DM,6,critical account,car(new),4716,unknown,<1year,1,male:single,none,3,real estate,44,none,own,2,0,2,no,yes,0
no checking account,24,existing credits paid back duly till now,radio/television,2284,<100DM,"[4,7years]",4,male:single,none,2,car or other,28,none,own,1,0,1,yes,yes,0
no checking account,6,existing credits paid back duly till now,car(used),1236,"[500,1000DM]","[1,4years]",2,male:single,none,4,life insurance,50,none,rent,1,1,1,no,yes,0
"[0DM,200DM]",12,existing credits paid back duly till now,radio/television,1103,<100DM,"[4,7years]",4,male:single,guarantor,3,real estate,29,none,own,2,0,1,no,no,0
no checking account,12,critical account,car(new),926,<100DM,unemployed,1,female:divorced/separated/married,none,2,life insurance,38,none,own,1,0,1,no,yes,0
no checking account,18,critical account,radio/television,1800,<100DM,"[1,4years]",4,male:single,none,2,car or other,24,none,own,2,0,1,no,yes,0
>=200DM,15,existing credits paid back duly till now,education,1905,<100DM,>=7years,4,male:single,none,4,car or other,40,none,rent,1,0,1,yes,yes,0
no checking account,12,existing credits paid back duly till now,furniture/equipment,1123,"[500,1000DM]","[1,4years]",4,female:divorced/separated/married,none,4,car or other,29,none,rent,1,0,1,no,yes,1
<0DM,48,critical account,car(used),6331,<100DM,>=7years,4,male:single,none,4,no property,46,none,for free,2,1,1,yes,yes,1
>=200DM,24,existing credits paid back duly till now,radio/television,1377,"[100,500DM]",>=7years,4,female:divorced/separated/married,none,2,no property,47,none,for free,1,0,1,yes,yes,0
"[0DM,200DM]",30,delay in paying off in the past,business,2503,"[100,500DM]",>=7years,4,male:single,none,2,life insurance,41,stores,own,2,0,1,no,yes,0
"[0DM,200DM]",27,existing credits paid back duly till now,business,2528,<100DM,<1year,4,female:divorced/separated/married,none,1,life insurance,32,none,own,1,0,2,yes,yes,0
no checking account,15,existing credits paid back duly till now,car(new),5324,"[500,1000DM]",>=7years,1,female:divorced/separated/married,none,4,no property,35,none,for free,1,0,1,no,yes,0
"[0DM,200DM]",48,existing credits paid back duly till now,car(new),6560,"[100,500DM]","[4,7years]",3,male:single,none,2,life insurance,24,none,own,1,0,1,no,yes,1
"[0DM,200DM]",12,nocreditstaken,furniture/equipment,2969,<100DM,<1year,4,female:divorced/separated/married,none,3,life insurance,25,none,rent,2,0,1,no,yes,1
"[0DM,200DM]",9,existing credits paid back duly till now,radio/television,1206,<100DM,>=7years,4,female:divorced/separated/married,none,4,real estate,25,none,own,1,0,1,no,yes,0
"[0DM,200DM]",9,existing credits paid back duly till now,radio/television,2118,<100DM,"[1,4years]",2,male:single,none,2,real estate,37,none,own,1,0,2,no,yes,0
no checking account,18,critical account,radio/television,629,"[500,1000DM]",>=7years,4,male:single,none,3,life insurance,32, bank,own,2,0,1,yes,yes,0
<0DM,6,all credits at this bank paid back duly,education,1198,<100DM,>=7years,4,female:divorced/separated/married,none,4,no property,35,none,for free,1,0,1,no,yes,1
no checking account,21,existing credits paid back duly till now,car(used),2476,unknown,>=7years,4,male:single,none,4,real estate,46,none,own,1,1,1,yes,yes,0
<0DM,9,critical account,radio/television,1138,<100DM,"[1,4years]",4,male:single,none,4,real estate,25,none,own,2,0,1,no,yes,0
"[0DM,200DM]",60,existing credits paid back duly till now,car(new),14027,<100DM,"[4,7years]",4,male:single,none,2,no property,27,none,own,1,0,1,yes,yes,1
no checking account,30,critical account,car(used),7596,unknown,>=7years,1,male:single,none,4,car or other,63,none,own,2,1,1,no,yes,0
no checking account,30,critical account,radio/television,3077,unknown,>=7years,3,male:single,none,2,car or other,40,none,own,2,0,2,yes,yes,0
no checking account,18,existing credits paid back duly till now,radio/television,1505,<100DM,"[1,4years]",4,male:single,none,2,no property,32,none,for free,1,0,1,yes,yes,0
>=200DM,24,critical account,radio/television,3148,unknown,"[1,4years]",3,male:single,none,2,car or other,31,none,own,2,0,1,yes,yes,0
"[0DM,200DM]",20,nocreditstaken,car(used),6148,"[100,500DM]",>=7years,3,male:married/widowed,none,4,car or other,31, bank,own,2,1,1,yes,yes,0
>=200DM,9,nocreditstaken,radio/television,1337,<100DM,<1year,4,male:single,none,2,car or other,34,none,own,2,0,1,yes,yes,1
"[0DM,200DM]",6,all credits at this bank paid back duly,education,433,>=1000DM,<1year,4,female:divorced/separated/married,none,2,life insurance,24, bank,rent,1,0,2,no,yes,1
<0DM,12,existing credits paid back duly till now,car(new),1228,<100DM,"[1,4years]",4,female:divorced/separated/married,none,2,real estate,24,none,own,1,0,1,no,yes,1
"[0DM,200DM]",9,existing credits paid back duly till now,radio/television,790,"[500,1000DM]","[1,4years]",4,female:divorced/separated/married,none,3,real estate,66,none,own,1,0,1,no,yes,0
no checking account,27,existing credits paid back duly till now,car(new),2570,<100DM,"[1,4years]",3,female:divorced/separated/married,none,3,real estate,21,none,rent,1,0,1,no,yes,1
no checking account,6,critical account,car(new),250,>=1000DM,"[1,4years]",2,female:divorced/separated/married,none,2,real estate,41, bank,own,2,0,1,no,yes,0
no checking account,15,critical account,radio/television,1316,"[500,1000DM]","[1,4years]",2,male:married/widowed,none,2,life insurance,47,none,own,2,0,1,no,yes,0
<0DM,18,existing credits paid back duly till now,radio/television,1882,<100DM,"[1,4years]",4,female:divorced/separated/married,none,4,car or other,25, bank,rent,2,0,1,no,yes,1
"[0DM,200DM]",48,all credits at this bank paid back duly,business,6416,<100DM,>=7years,4,female:divorced/separated/married,none,3,no property,59,none,rent,1,0,1,no,yes,1
>=200DM,24,critical account,business,1275,>=1000DM,"[1,4years]",2,male:divorced/separated,none,4,real estate,36,none,own,2,0,1,yes,yes,0
"[0DM,200DM]",24,delay in paying off in the past,radio/television,6403,<100DM,<1year,1,male:single,none,2,car or other,33,none,own,1,0,1,no,yes,0
<0DM,24,existing credits paid back duly till now,radio/television,1987,<100DM,"[1,4years]",2,male:single,none,4,real estate,21,none,rent,1,0,2,no,yes,1
"[0DM,200DM]",8,existing credits paid back duly till now,radio/television,760,<100DM,"[4,7years]",4,female:divorced/separated/married,guarantor,2,real estate,44,none,own,1,0,1,no,yes,0
no checking account,24,existing credits paid back duly till now,car(used),2603,>=1000DM,"[1,4years]",2,female:divorced/separated/married,none,4,car or other,28,none,rent,1,1,1,yes,yes,0
no checking account,4,critical account,car(new),3380,<100DM,"[4,7years]",1,female:divorced/separated/married,none,1,real estate,37,none,own,1,0,2,no,yes,0
